docs-read	probe	Identify a document: format, pages, scanned or digital, what it holds.
docs-read	outline	List headings and bookmarks with page anchors. Use before extract.
docs-read	find	Locate text: page numbers, counts, and a snippet each. Never a page.
docs-read	extract	Extract clean text for a page range. Bounded; refuses when too big.
docs-read	extract_tables	Extract tables as rows. Says whether ruling lines or gaps were used.
docs-read	read_page	Read one page: text, tables, and how each was obtained.
docs-read	to_markdown	Convert a document to markdown. Refuses when over the token budget.
docs-edit	assemble	Build a document from a page selection: merge, split, reorder, rotate.
docs-edit	convert	Convert between formats: pdf, txt, md, html, images.
docs-edit	optimize	Optimize a PDF. action: compress, repair, linearize. Reports size change.
docs-edit	ocr	Add a searchable text layer. Defaults to the pages that lack one.
docs-edit	protect	PDF security. action: encrypt, decrypt, permissions. Needs a password.
docs-edit	redact	Permanently remove matching content, then verify it cannot be extracted.
data-basic	load_dataset	Load CSV from a local path or an http(s) URL. Returns the schema.
data-basic	load_geo_dataset	Load GeoJSON or shapefile. Returns geometry columns and CRS.
data-basic	inspect_dataset	Inspect schema, dtypes, nulls, totals. Takes a local path or URL.
data-basic	read_column_stats	Stats for one column: mean median std min max nulls unique top.
data-basic	search_columns	Find columns by criteria: has_nulls dtype has_zeros name_contains.
data-basic	apply_patch	Apply ordered ops to a CSV. ops: see Op Reference below.
data-basic	restore_version	Restore a snapshot. No timestamp overwrites with the newest.
data-basic	read_receipt	Read operation history log for a file. Returns receipt entries.
data-basic	list_patch_ops	List apply_patch ops. Omit category to get all, grouped by category.
data-ingest	list_sheets	List sheets in xlsx/ods with row and col counts.
data-ingest	extract_sheet	Extract one sheet to CSV. sheet: name or index (default first).
data-ingest	extract_all_sheets	Extract all sheets to separate CSVs in output_dir.
data-ingest	detect_tables	Detect separate tables in a sheet separated by blank rows/cols.
data-ingest	extract_table	Extract one detected table by index to CSV.
data-ingest	normalize_headers	CSV: strip whitespace, lowercase, dedup headers. output_path: write elsewhere.
data-ingest	trim_empty	CSV: drop empty leading/trailing rows and cols. output_path: write elsewhere.
data-ingest	promote_header	CSV: make row N the header; drop rows above. output_path: write elsewhere.
data-ingest	flatten_merged_cells	Forward-fill merged cell regions in xlsx sheet to CSV.
data-ingest	convert_file	Convert xlsx/ods/csv/json/parquet to csv/json/parquet/excel.
data-medium	compute_aggregations	Group by columns and aggregate. agg: sum mean count min max.
data-medium	cross_tabulate	Contingency table between two categorical columns.
data-medium	pivot_table	Multi-dimensional pivot/aggregation table.
data-medium	value_counts	Frequency tables with percentages for categorical columns.
data-medium	filter_rows	Filter rows. Compare a column to 'value' or to 'other_column'.
data-medium	sample_data	Sample rows from dataset. methods: random head tail.
data-medium	statistical_tests	Auto-select and run statistical tests: t-test ANOVA chi-square correlation.
data-medium	analyze_text_column	Analyze text column: length stats, word freq, pattern detection.
data-medium	detect_anomalies	Flag anomalous rows using IQR and/or z-score. Saves flagged CSV.
data-medium	compare_datasets	Compare two CSVs: schema diff, row counts, value changes.
data-medium	extended_stats	Deep numeric stats: skewness kurtosis percentiles CI MAD CV distribution.
data-statistics	extended_stats	Deep numeric stats: skewness kurtosis percentiles CI MAD CV distribution.
data-statistics	validate_dataset	Validate dataset quality: types nulls duplicates ranges. Score 0-100.
data-statistics	auto_detect_schema	Auto-detect column types, dates, IDs, categories with cleaning suggestions.
data-statistics	check_outliers	Scan for outliers + anomalies. method: iqr std both. Flags anomalous rows.
data-statistics	scan_nulls_zeros	Scan all columns for nulls and zeros. Returns counts, pcts, patterns.
data-statistics	correlation_analysis	Correlation matrix + top pairs. method: pearson spearman kendall.
data-statistics	lag_correlation	Cross-correlate two columns across lags. Returns the curve and its peak.
data-statistics	statistical_test	Run a stat test. 17 available: an unknown 'test' lists them all.
data-statistics	regression_analysis	OLS or logistic regression. Returns coefs p-values R2 RMSE diagnostics.
data-statistics	time_series_analysis	Trend, seasonality and rolling stats. dayfirst: auto true false.
data-statistics	period_comparison	Compare periods: MoM QoQ YoY. dayfirst: auto true false.
data-statistics	cohort_analysis	Cohort retention matrix. dayfirst: auto true false.
data-transform	filter_dataset	Filter rows + sort. Compare to 'value' or to 'other_column'.
data-transform	reshape_dataset	Reshape data. mode: pivot melt split_column combine_columns transpose.
data-transform	aggregate_dataset	Aggregate data. mode: groupby crosstab value_counts describe window.
data-transform	resample_timeseries	Resample by freq: D W M Q Y H. agg: sum mean count min max.
data-transform	merge_datasets	Merge two datasets. how: inner left right outer. Auto-detect join keys.
data-transform	concat_datasets	Stack CSVs. direction: rows (stack) or columns (side by side).
data-transform	smart_impute	Smart impute missing values using column-type-appropriate strategies.
data-transform	run_cleaning_pipeline	Run ordered cleaning ops in one call. Single snapshot taken.
data-transform	feature_engineering	Add columns: features bins/date_parts/one_hot/text_length, or derive.
data-transform	enrich_with_geo	Merge dataset with geo data on location key. Saves enriched result.
data-visual	run_eda	EDA summary. mode=minimal|standard|full, sample_n, include. Saves HTML.
data-visual	generate_auto_profile	Full column profile: stats charts correlations outliers insights.
data-visual	generate_distribution_plot	Histogram + box plot per numeric column, with shape stats. Samples above 5k.
data-visual	generate_correlation_heatmap	Interactive correlation heatmap for numeric columns. Saves HTML.
data-visual	generate_pairwise_plot	Pairwise scatter + histogram matrix for numeric columns. Saves HTML.
data-visual	generate_multi_chart	Multi-metric bar/line chart. bar needs category_column, line needs date_column.
data-visual	generate_chart	Generate chart. bar/pie/line/scatter/funnel/radius/geo need category_column.
data-visual	generate_geo_map	Geo map: scatter (lat/lon) or choropleth (country/state). Auto-detects.
data-visual	generate_3d_chart	3D scatter or surface chart. type: scatter_3d surface. Saves HTML.
data-visual	customize_dashboard	Rebuild a dashboard with part of its embedded spec changed.
data-visual	generate_dashboard	Interactive HTML dashboard. spec overrides detection; sources add tabs.
data-visual	export_data	Export dataset to CSV, Excel, or JSON. Excel gets a README sheet.
data-visual	customize_chart	Customize existing chart. changes: title labels colors annotations.
data-workspace	create_workspace	Create workspace with data/working/trial/report dirs.
data-workspace	open_workspace	Open workspace. Returns file aliases, pipeline history, active file.
data-workspace	register_workspace_file	Add file to workspace with alias. stage: raw working trial output.
data-workspace	list_workspace_files	List all workspace files with alias, stage, size, row count.
data-workspace	save_workspace_pipeline	Save named pipeline template. ops: list of apply_patch op dicts.
data-workspace	run_workspace_pipeline	Execute saved pipeline on file alias. Creates new output alias.
filesystem	fs_query	Find files by name/content. content is literal unless regex=True.
filesystem	fs_read	Read file content, tree, metadata, or diff. Bounded always.
filesystem	fs_write	Write, edit, move, copy, download a URL, restore. Delete needs a token.
filesystem	fs_index	Build/query/list file index or read operation receipt history.
filesystem	fs_manage	Disk usage, permissions, symlink info, or snapshot version list.
filesystem	fs_archive	Create or extract zip/tar.gz. path=archive, target=what goes in it.
math	calculate	Evaluate arithmetic expression. Returns numeric result and steps.
